id,text,source_channel,channel_family,video_title,target_refined,stance_to_target,confidence,discourse_type,discourse_subtype,type_confidence
yt_6_Hc2S02Duw_Ugys7-OS7_VouOnLjKd4AaABAg,"Noi am știut rezultatul înainte de a avea sedinta😅😅 Cat de pupcuristi sunteti,voi acceptati tot,nu mai vorbim de negociat sau altceva,oricum nu va duce capul...",NicusorDanRO,mainstream_actor,🟢 LIVE Declarație de presă la finalul ședinței Consiliului Suprem de Apărare a Țării,nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_6_Hc2S02Duw_UgzbcvLDD7MpspUnNXN4AaABAg,"Afară în stradă toată lumea,nu avem nevoie de americanii aici la noi în țară indiferent ce echipamente vor să aducă,de ce nu folosesc bazele din TURCIA, GERMANIA, FRANȚA ETC!!!!!!!",NicusorDanRO,mainstream_actor,🟢 LIVE Declarație de presă la finalul ședinței Consiliului Suprem de Apărare a Țării,nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_6_Hc2S02Duw_Ugz1mD3M5DTjCXGR6Y94AaABAg,"Vrem Visa Waiver! Daca vor sa ne foloseasca bazele, sa ne dea automat viza!",NicusorDanRO,mainstream_actor,🟢 LIVE Declarație de presă la finalul ședinței Consiliului Suprem de Apărare a Țării,nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt__qs5Iw5JdA8_UgxmJF6Zz6JpFwCBOZh4AaABAg,"Frumos !!. Țineți la curent Iranul cu contribuția României la războiul SUA, locul de staționare a avioanelor-cisterna, în inima țării, cu datele zborurilor, că noi suntem cinstiți, nu ascundem nimic !!! Parcă ne alienăm galopant...",digi24hd56,mainstream,🟣 Știrile Digi24  de la ora 17  – 20 martie 2026,digi24,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_pO0JOPX1I7Q_UgyF1c23SnvMLyzo0UZ4AaABAg,"Cum ce discuta ,agentul-sef Fritz ii transmite ordinele agentului prost Nicusor !",turcescu111,anti_system,Iar au făcut rahatu’ praf!,nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_coeP4ouSxV8_UgyjZyGuE7cBLQCqeXl4AaABAg,"Totul este circ, mascarada. De ce Calin Georgescu accepta aceasta mascarada?",@CălinGeorgescu-CanalulOficial,sovereigntist,"Călin Georgescu - La Tribunal, ora 9 ( 17.03.2026 )",georgescu,unclear,0.9,T4_conspiratie_externalism,conspiratie_suveranista,medium
yt_joXkZDqGZQU_UgxZ6ugVs3_baxBrhrN4AaABAg,Eu nu am incredere in ucrainieni.Ei si rusii sunt dusmani traditionali ai Romaniei.Cum sa le dam gazul nostru lor?,NicusorDanRO,mainstream_actor,"🟢 Declarații de presă comune cu Președintele Ucrainei, Volodîmîr Zelenski, la Palatul Cotroceni",nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt__PIes5dU7Zg_UgzqR5d-ebVFPJqx0eJ4AaABAg,"Se îngrijorează rușii că România permite avioanelor americane să vină atât de aproape, la fel și dislocarea armamentului. Pe de o parte, Trump nici nu și-a amintit de România de la investire încoace, iar acum l-a apucat dorul, iar voi ați și pupat papucul😢 Ce urât, dle Turcescu. Nici nu vreau să vă ascult. PS bine făceau USR-istii că-l înjurau pe Trump.",turcescu111,anti_system,Swingeri politici în acțiune,usr,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt__D98CfBSrCs_UgyhtIWESe9iSMWC_MN4AaABAg,Ma astept ca reducerea operatiunilor sa fie prezentata ca o infrangere a SUA. Americanii dau inapoi.😂,euronewsro,mainstream,SUA iau în calcul reducerea operațiunilor din Orientul Mijlociu. Ce le cere celorlalte state,sua_occident,anti,0.9,T4_conspiratie_externalism,anti_externalism_geopolitic,medium
yt_CL5sE_WTJjE_UgySnregzJJP57_I9S94AaABAg,"Ilie Bolojan este atacat nu pentru că ar fi greșit, ci pentru că face ce trebuia făcut de 30 de ani. Reforma doare. Și sistemul reacționează. Doare confortul. Doare ruperea obișnuințelor. Doare atingerea rețelelor și intereselor construite în zeci de ani. Când încerci să miști lucrurile cu adevărat, sistemul se opune. Iar când apar și rezultate, se zvârcolește. Bolojan a făcut o alegere clară. A ales să îndrepte ce au greșit predecesorii lui. A ales responsabilitatea în locul populismului care ne-a adus în impasul economic de azi. A ales, prin asumarea premierului Ilie Bolojan, să declanșeze reforma statului așteptată de aproape trei decenii. Trei decenii de inerție nu se repară ușor. După 6 luni de guvernare, cifrele arată că alegerea a fost corectă. Indicatorii economici sunt încurajatori. Piețele externe au încredere în direcția României. Toate acestea s-au făcut cu sacrificii. Sacrificiul românului de rând. Sacrificiul mediului de afaceri. Dar reforma trebuia să înceapă cu sacrificiul statului. Cu schimbarea lui din interior. Iar aici ne-am lovit, constant, de o opoziție dură. O opoziție care frustrează oamenii atunci când văd cum politicienii se agață de privilegii și refuză să le lase din mână. Zilele acestea, aceeași opoziție încearcă să acrediteze ideea absurdă că până și PNL ar dori îndepărtarea lui Ilie Bolojan. Cum să înlături liderul datorită căruia ți-ai recâștigat credibilitatea? Cum să renunți la un premier respectat pe piețele europene, apreciat dincolo de granițele partidului? Da, există nemulțumiri. În PNL. În PSD. În societate. Reforma nu vine niciodată cu unanimitate, asta o știm prea bine. Întrebarea reală este alta: care e alternativa? Să ne oprim pentru că e greu? Să facem un pas înapoi pentru că sistemul se opune? Eu cred exact invers. Tocmai acum trebuie să continuăm - cu luciditate, cu nervii tari și cu responsabilitate. Faptul că au început să vorbească până și „morții politici” ne arată un singur lucru: suntem pe drumul corect. Reforma se va face cu sau fără voia celor care o sabotează. Diferența este doar costul. Fiecare amânare înseamnă dobânzi mai mari, investiții pierdute, fonduri europene blocate, presiune fiscală pe cei corecți, o economie care încetinește și tot mai mulți români plecați. Reforma amânată nu înseamnă prudență. Înseamnă facturi mai mari, plătite lună de lună, de toți românii. România nu mai are timp pentru ele. Avem nevoie de maturitate politică, de colaborare onestă și de curajul de a guverna pentru viitor, nu pentru următorul sondaj. Reforma nu mai este o opțiune. Este o necesitate. Și va fi dusă până la capăt.",g4media479,investigativ,„Este ultimul nostru tren”. Avertismentul premierului Ilie Bolojan #G4Media,bolojan,pro,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_IvosHezmLX8_Ugz9VkVMkCAsbTo3GeB4AaABAg,"D-le Manastire, ce intrebare este asta...suntem tara in EU, traim in Europa, este clara pozitia noastra. Ii doare in cot pe americani de noi. Isi fac interesul si doar atat!",g4media479,investigativ,Ce spune liderul USR despre anexarea Groenlandei de către SUA,usr,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_IvosHezmLX8_UgzaRupJmXrFZdQxqbt4AaABAg,"Spune că ND tocmai a contribuit la ONU-ul lui Donald, ca să poată măcăi ?!",g4media479,investigativ,Ce spune liderul USR despre anexarea Groenlandei de către SUA,usr,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_8XaNWSfaLxE_Ugz-bALZpQK0Zn4_n054AaABAg,"Tramp e un aliat politic al lui Putin,e cunoscut asta de la început.El nu este nici diplomat,nici politic.Esste un blea,blea!!!!",g4media479,investigativ,Rușinea Americii,rusia,anti,0.9,T4_conspiratie_externalism,anti_externalism_geopolitic,medium
yt_8XaNWSfaLxE_UgzGwtcjoA9kck6BtfF4AaABAg,"Trump este manipulat de catre Putin si culmea ca nimeni nu obsearva asta. Trump e rusinea Americii, iar America e pe cale sa devina rusinea lumii. Asa un sef de stat incompetent nu a avut America pana acum.",g4media479,investigativ,Rușinea Americii,sua_occident,anti,0.9,T4_conspiratie_externalism,anti_externalism_geopolitic,medium
yt_8XaNWSfaLxE_UgzX8m1xNV9AHGEW1gF4AaABAg,inca de la primul mandat era suspectat ca este un produs rusesc,g4media479,investigativ,Rușinea Americii,rusia,anti,0.9,T4_conspiratie_externalism,anti_externalism_geopolitic,medium
yt_M37Lar0c11g_Ugx-k2lsJmqMSdYKthJ4AaABAg,"Buna ziua, as dori sa va atrag atentia asupra Qanon-ului. Evenimentele recente dovedesc multe lucruri din postarile lui Q.",turcescu111,anti_system,"“O facem, dar prin batistă!”, de-asta a fost convocat CSAT",other_state_institution,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_BfMPO67wJ84_UgxZFVRklZ7SmB57lnp4AaABAg,"suntem in siguranta ... asta pana cand ne trezim cu o racheta balistica care ar fi probabilitatea sa nu ne loveasca? hai ca e matematica, sigur nu va 100%",NicusorDanRO,mainstream_actor,"🟢 LIVE Declarații de presă comune cu Secretarul General NATO, Mark Rutte - sediul NATO Bruxelles",nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_BfMPO67wJ84_UgyXlWbOjQzFnb9jk314AaABAg,"If you depend on others to defend you you are nothing but a sucker ,with aboluty no lesson learn from the past and present",NicusorDanRO,mainstream_actor,"🟢 LIVE Declarații de presă comune cu Secretarul General NATO, Mark Rutte - sediul NATO Bruxelles",nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_YrAie1rs1gM_UgwYuRUlQRiRghWD65t4AaABAg,Unul sincer... cred ca e primul si ultimul din viata mea... Ce va urma va iubi Rusia..,NicusorDanRO,mainstream_actor,🟢 LIVE -Declarații de presă susținute înaintea participării la Gala Colegiului Medicilor din România,nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_0b2_71jAaQs_UgzcnWKSk42qiYjNt494AaABAg,"catre cel ce ii scrie discursurile presedintelui: putem pune in mormant expresia ""este despre x"" ? nu stiu daca e tradusa mecanic din Engleza, dar e stupida. si ca orice lucru ce a fost candva popular, momentul cand il auzi si pe Grindeanu folosind-o, e timpul sa o pui in cui",NicusorDanRO,mainstream_actor,🟢 LIVE,nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt__PIes5dU7Zg_UgzR090y3wtQ-Ajij6J4AaABAg,Melon 😢i a trimis carabinierii sa ii oprească pe americani să își folosească avioanele în atac din bazele din Italia. Baza de la Deveselu e ofensiva. Poate o rachetă iraniană ne va trezi la realitate. De cine ne apăra americanii? Prezența lor e o amenințare pentru Romania,turcescu111,anti_system,Swingeri politici în acțiune,other_state_institution,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt__PIes5dU7Zg_UgydLu5WTPhD3lnUl0h4AaABAg,Puterea si opozitia sunt in mana aceluiasi regizor. Nu va mai faceti iluzii…!,turcescu111,anti_system,Swingeri politici în acțiune,other_state_institution,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt__PIes5dU7Zg_Ugy0EQeSOZbmJiyxeE94AaABAg,"Și așa,doar de realimentare,tot nu este ok.Acele avioane realimentate vor bombarda Iranul.Oficial, România a devenit stat agresor in acest conflict.Asta da dreptul legitim Iranului sa atace România.Ca o va face sau nu,rămâne de văzut!Legat de decizie,nu știu dacă ar fi fost vreo posibilitate legală sa ne opunem!",turcescu111,anti_system,Swingeri politici în acțiune,other_state_institution,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_1M4sKFGJTaY_Ugx3FMngsgwWBNZVOPJ4AaABAg,"Nea Patraru , dar ne facem ca nu stim ce regim este in Iran! Da, da, Trump este tampit, Bibi este fanatic criminal, daaaa! Dar ne facem ca nu stim ce regim este in Iran?",StareaNatiei,investigativ,"Trump, Rusia, alcool, murături și alte provocări pentru viitorul României | Starea Nației 17.03.26",sua_occident,anti,0.9,T4_conspiratie_externalism,anti_externalism_geopolitic,medium
yt_bee6nXyzJ_E_UgxSFBtgQHtNJYH-CWJ4AaABAg,Băieții sunt în șah-mat din data de 27 Februarie 2025. Nici nu știu ce-i așteaptă.,@CălinGeorgescu-CanalulOficial,sovereigntist,Călin Georgescu împreună cu Anca Alexandrescu la Culisele Statului Paralel ( 15.03.2026 ),georgescu,unclear,0.9,T4_conspiratie_externalism,conspiratie_suveranista,medium
yt_M37Lar0c11g_UgzHuDw2eSuVruMimkp4AaABAg,Aveți o părere f buna despre Mucusor …. Nu el a convocat Csat …. Ci a fost convocat de sefii lui !!! Poate ăla care i a spus sa se pregătească de alegeri … a primit ordine de la sefii lui ! Mucusor … executa !,turcescu111,anti_system,"“O facem, dar prin batistă!”, de-asta a fost convocat CSAT",alegeri,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_fLX5OL0q2LI_UgwCXqw24P4UiL5KlGZ4AaABAg,"Grindeanu vrea sa devina sugeranist ca pe vremea lui Dragnea, si sa fure linistit cu dacii liberi din AUR. Stie ca Bolojan va opri furturile si va intarii legile justitiei si le e frica PSDistilor.",g4media479,investigativ,Grindeanu aruncă în aer coaliția: sondaj în PSD despre Bolojan,bolojan,pro,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_KETrGGaXRpk_Ugx_fT6E016oiLzvnBp4AaABAg,"KGB ul ukr a avut un rol în anularea alegerilor , ii au la mana , au semnat niste ilegitimi trădători",turcescu111,anti_system,Vizita stăpânului Zelenski  la slugile preaplecate,rusia,anti,0.9,T4_conspiratie_externalism,anti_externalism_geopolitic,medium
yt_bnbjgKIS5Dw_UgxaFtg3Hu3SavvxrgB4AaABAg,"Cine la pus pe acest individ, patriarh, știind că era un turnător.",DianaSosoacaOfficial,sovereigntist,Mesaj pentru Popi! - Euparlamentar @DianaSosoacaOfficial ,none,none,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_yEuctxNb4O0_UgxTHAd8yEtUTD-Nl254AaABAg,Acest video aduce o licărire de speranță pentru aceasta țară 😢 Mulțumim acestor oameni curajoși și domnului președinte care a avut răbdarea sa asculte și televiziunilor care au filmat și au distribuit întregii populații. Comunismul este demascat pe față după multe încercări de-a lungul celor 35 ani,NicusorDanRO,mainstream_actor,🟢 LIVE - Întâlnire la Palatul Cotroceni cu magistrați și alți actori din sistemul judiciar,nicusor_dan,pro,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_fLX5OL0q2LI_UgzcysMkDFGCyvqGWEV4AaABAg,"Nu mai vor USR/Bolojan pentru ca USR in ministerele unde au ajuns, in dorinta lor de a indrepta lucrurile si de a face treaba asa cum trebuie facuta, cu siguranta au deranjat grupurile lor(PSD) de interese. La fel si Bolojan, prin lucrurile pe care le face incepe sa-i deranjeze pe cei care sunt mufati la sursele de bani, access care este facilitat de cei de la PSD si unii din PNL. Eu cred ca ei uita ca sunt si ei la guvernare si ca tot ceea ce s-a facut pana acum s-a facut cu acordul lor. De asemenea daca voiau sa faca ceva bine, au fost la guvernare pana acum si de fiecare data cineva a trebuit sa vina sa tot indrepte lucrurile dupa ei.",g4media479,investigativ,Grindeanu aruncă în aer coaliția: sondaj în PSD despre Bolojan,bolojan,pro,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_qkGhsJFft00_UgxwPK_dNSX4mFpXMux4AaABAg,"A vorbi despre Iran, a-i expune atât capacitățile și isprăvile cât și slăbiciunile, înseamnă a-i face propagandă ! A vorbi despre Iran, indiferent cum, chiar și negativ, înseamnă a-i face propagandă ! STOP propaganda mascată pro-Iran și islamistă care se face pe acest post ! STOP propaganda mascată anti-America și anti-Israel care se face la acest post ! STOP propaganda împotriva Americii de origine ruso-bruxeleză ! Nu mai ascultați așa ceva ! Trăiască America și Trump ! Trăiască America și Israelul, ȚĂRI ADEVĂRATE !",digi24hd56,mainstream,În fața ta cu Emil Hurezeanu: „Ar fi un coșmar pentru Trump și întreaga lume”,sua_occident,pro,0.9,T4_conspiratie_externalism,anti_externalism_geopolitic,medium
yt_yEuctxNb4O0_Ugz01f0YgX9NdPbLGgt4AaABAg,"Felicitari pt curaj,desi toti si au ales cu mare grija vorbele,clar ca au o anumita teama.",NicusorDanRO,mainstream_actor,🟢 LIVE - Întâlnire la Palatul Cotroceni cu magistrați și alți actori din sistemul judiciar,nicusor_dan,pro,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_kLdQS9N5cBU_UgzhiTQONGBknFPjSvl4AaABAg,"😮😮😮😂😂😂 este șocat cum procesează informația acest om!!! Zici că are hardul plin + memoria RAM la maxim . Nu știe să răspundă altfel....a învățat de pe foaie și nu iese din tiparul dictat. CEL MAI INCAPABIL ȘI NE FIRESC PREȘEDINTE! Va rămâne în istoria României ca MUCUȘOR / NETERMINATUL ( facultate oka terminată, o alta prin Franța cu fff multe semne de întrebare, totul cu o spălare completă....made in România, ca să pară real).",NicusorDanRO,mainstream_actor,🟢 LIVE Declarații de presă înaintea participării la reuniunea informală a Consiliului European,nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_Ds7YVeTvAAY_UgwvbVI8UvDFLsTRwJp4AaABAg,Avem nevoie de *SUSTINERE PUBLICA pentru Domnul BOLOJAN si Guvern* in reformele si demersurile dificile pe care le au de facut !!! *Hidra psd ii pandeste la orice colt* !!!,NicusorDanRO,mainstream_actor,🟢 LIVE Declarații de presă susținute după participarea la reuniunea informală a Consiliului European,bolojan,pro,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_Ds7YVeTvAAY_Ugybc0bDlpo7BqYQ5Sd4AaABAg,"*Vad ca s-au ‘activat’ imediat, trolii si botii ruznaci - semn ca domnul NICUSOR DAN FACE CE TREBUIE pentru Romania* !!!",NicusorDanRO,mainstream_actor,🟢 LIVE Declarații de presă susținute după participarea la reuniunea informală a Consiliului European,nicusor_dan,pro,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_Ds7YVeTvAAY_Ugx2nKst-UvDb7Mb-cR4AaABAg,Consiliul pentru pace este o noua schema a lui Trump !Romania trebuie sa sustina organizatiile deja existente si sa se alature partenerilor din UE in aceasta problema!,NicusorDanRO,mainstream_actor,🟢 LIVE Declarații de presă susținute după participarea la reuniunea informală a Consiliului European,ue,pro,0.9,T4_conspiratie_externalism,anti_externalism_geopolitic,medium
yt_ZAJeeVgVvYc_UgxME8W5mOW3Z3dKjt14AaABAg,"*Vad ca s-au ‘activat’ trolii si botii ruznaci, semn ca domnul NICUSOR DAN FACE CE TREBUIE pentru Romania !!!*",NicusorDanRO,mainstream_actor,🟢 LIVE Participare la manifestările prilejuite de Ziua Unirii Principatelor Române de la Focșani,nicusor_dan,pro,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_ZAJeeVgVvYc_UgycMVcU4VFxG90z9wJ4AaABAg,"Tot asa de frumos si de elegant, ar fi raspuns si… 🪑 *Nu-i asa, sugeranistilor ?* 😂😂😂",NicusorDanRO,mainstream_actor,🟢 LIVE Participare la manifestările prilejuite de Ziua Unirii Principatelor Române de la Focșani,nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_KETrGGaXRpk_UgzyiJhiHkuNgpHgkaF4AaABAg,"Emetiral!!! ... pe de altă parte, așa cum am tot așteptat(în zadar) marturii ale foștilor elevi ai lui Johannisl - tot așa aștept să-i văd părinții lui Nicușor, familia, colegii, locurile eclozării sale. Sau ăsta e făcut prin partenogeneza?!?",turcescu111,anti_system,Vizita stăpânului Zelenski  la slugile preaplecate,nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_8XaNWSfaLxE_UgxE1hfPxL_gF0kt8ap4AaABAg,"Cred că Trump e șantajat cumva de Putin, altfel nu se explică felul în care îi favorizează pe ruși.",g4media479,investigativ,Rușinea Americii,sua_occident,anti,0.9,T4_conspiratie_externalism,anti_externalism_geopolitic,medium
yt_8XaNWSfaLxE_UgzOHKq4yKfTgL4gE294AaABAg,"E clar ca Trump e pro Rusia pentru ca e Krasnov ! Sper sa fie demis daca democratii preiau Congresul SUA la anul si, dupa ce va fii judecat, sa ajunga in inchisoare !",g4media479,investigativ,Rușinea Americii,sua_occident,anti,0.9,T4_conspiratie_externalism,anti_externalism_geopolitic,medium
yt_Ds7YVeTvAAY_UgzQ2YwGs3RMRdrkOU94AaABAg,"Parteneriat cu SUA - lol - CIUMA. Are SUA asa un renume de supermani salvatori de pe vremea lui Rambo, dar lol. Uita-ti-va si voi ce a facut SUA in Palestina, Iran, Venezuela etc. Nu va mai agatati de ei, ca poate uita si scapam si noi de napasta!",NicusorDanRO,mainstream_actor,🟢 LIVE Declarații de presă susținute după participarea la reuniunea informală a Consiliului European,nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_39ftFtTrdnk_UgzLR3HtHMpDcGun8Jt4AaABAg,"5:00 Ualeu, am observat ca iar au scos conspiratia ""Pizzagate"" de la naftalina zilele astea.",VeridicaRO,investigativ,"Iarna rusă în varianta TikTok - Spărgătorii de fake news, cu Zaiafet și Geminschi",other_state_institution,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_Ds7YVeTvAAY_UgyRhDLsmbSJ3M9_Sjh4AaABAg,A FACE ASFEL PTR Nicusor inseama sa inglobeze Romania ptr Ucraina,NicusorDanRO,mainstream_actor,🟢 LIVE Declarații de presă susținute după participarea la reuniunea informală a Consiliului European,nicusor_dan,anti,0.9,T4_conspiratie_externalism,conspiratie_difuza,medium
yt_8XaNWSfaLxE_UgxTM3Wae3bmWoDyc3R4AaABAg,"Ma ia cu flori cand ma gandesc la ce se poate intampla. Ce fiinte malefice, Trump si Putin.",g4media479,investigativ,Rușinea Americii,sua_occident,anti,0.9,T4_conspiratie_externalism,anti_externalism_geopolitic,medium
